日付,販売数,メニュー,曜日,天気,気温,イベント,価格,注文伝票No
2025-10-01,94,生姜焼き弁当,水,くもり,18.0,なし,590,10000
2025-10-02,106,カレー弁当,木,晴れ,20.4,なし,540,10001
2025-10-03,68,焼き魚弁当,金,くもり,21.6,なし,550,10002
2025-10-06,58,生姜焼き弁当,月,雨,23.4,なし,610,10003
2025-10-07,114,からあげ弁当,火,晴れ,17.0,なし,580,10004
2025-10-08,121,からあげ弁当,水,晴れ,16.3,なし,600,10005
2025-10-09,94,ハンバーグ弁当,木,雨,19.8,あり,620,10006
2025-10-10,102,ハンバーグ弁当,金,晴れ,20.2,なし,610,10007
2025-10-13,94,ハンバーグ弁当,月,晴れ,10.2,なし,610,10008
2025-10-14,86,からあげ弁当,火,雨,20.6,なし,600,10009
2025-10-15,111,からあげ弁当,水,晴れ,20.5,なし,590,10010
2025-10-16,98,ハンバーグ弁当,木,くもり,21.4,なし,620,10011
2025-10-17,76,ハンバーグ弁当,金,雨,16.1,なし,610,10012
2025-10-20,77,からあげ弁当,月,雨,15.8,なし,590,10013
2025-10-21,77,生姜焼き弁当,火,くもり,16.4,なし,590,10014
2025-10-22,54,焼き魚弁当,水,雨,21.1,なし,550,10015
2025-10-23,92,ハンバーグ弁当,木,くもり,14.6,なし,610,10016
2025-10-24,77,カレー弁当,金,雨,23.3,なし,550,10017
2025-10-27,87,ハンバーグ弁当,月,くもり,17.6,なし,630,10018
2025-10-28,78,からあげ弁当,火,雨,16.0,なし,590,10019
2025-10-29,72,焼き魚弁当,水,晴れ,15.4,なし,570,10020
2025-10-30,71,焼き魚弁当,木,晴れ,17.3,なし,560,10021
2025-10-31,109,カレー弁当,金,晴れ,19.9,なし,530,10022
2025-11-03,65,生姜焼き弁当,月,雨,15.4,なし,590,10023
2025-11-04,70,ハンバーグ弁当,火,雨,10.8,なし,620,10024
2025-11-05,110,からあげ弁当,水,晴れ,11.4,なし,600,10025
2025-11-06,118,からあげ弁当,木,晴れ,10.0,なし,600,10026
2025-11-07,102,カレー弁当,金,晴れ,8.3,なし,530,10027
2025-11-10,75,ハンバーグ弁当,月,雨,7.9,なし,610,10028
2025-11-11,102,カレー弁当,火,くもり,19.8,なし,540,10029
2025-11-12,92,カレー弁当,水,晴れ,10.1,なし,530,10030
2025-11-13,93,生姜焼き弁当,木,晴れ,15.8,なし,590,10031
2025-11-14,124,からあげ弁当,金,くもり,12.6,なし,600,10032
2025-11-17,64,焼き魚弁当,月,晴れ,10.0,なし,550,10033
2025-11-18,65,焼き魚弁当,火,晴れ,12.9,なし,570,10034
2025-11-19,75,生姜焼き弁当,水,雨,13.2,なし,600,10035
2025-11-20,99,カレー弁当,木,晴れ,9.7,なし,550,10036
2025-11-21,115,カレー弁当,金,くもり,12.6,なし,540,10037
2025-11-24,67,生姜焼き弁当,月,くもり,11.9,なし,600,10038
2025-11-25,67,焼き魚弁当,火,晴れ,9.9,なし,570,10039
2025-11-26,94,カレー弁当,水,晴れ,9.0,なし,530,10040
2025-11-27,126,からあげ弁当,木,くもり,11.0,なし,590,10041
2025-11-28,78,焼き魚弁当,金,くもり,12.8,なし,560,10042
2025-12-01,94,ハンバーグ弁当,月,晴れ,6.6,なし,610,10043
2025-12-02,90,生姜焼き弁当,火,晴れ,9.6,なし,590,10044
2025-12-03,95,カレー弁当,水,くもり,4.9,なし,540,10045
2025-12-04,93,ハンバーグ弁当,木,晴れ,11.1,なし,610,10046
2025-12-05,87,焼き魚弁当,金,くもり,8.7,なし,560,10047
2025-12-08,56,生姜焼き弁当,月,雨,7.9,なし,610,10048
2025-12-09,81,焼き魚弁当,火,晴れ,6.4,なし,560,10049
2025-12-10,61,焼き魚弁当,水,雨,8.9,なし,550,10050
2025-12-11,126,ハンバーグ弁当,木,晴れ,9.3,あり,620,10051
2025-12-12,82,カレー弁当,金,雨,1.5,なし,540,10052
2025-12-15,90,ハンバーグ弁当,月,晴れ,9.2,なし,610,10053
2025-12-16,58,生姜焼き弁当,火,雨,4.6,なし,610,10054
2025-12-17,93,カレー弁当,水,くもり,11.1,なし,550,10055
2025-12-18,89,からあげ弁当,木,雨,7.3,なし,590,10056
2025-12-19,131,からあげ弁当,金,晴れ,11.6,なし,580,10057
2025-12-22,95,カレー弁当,月,晴れ,5.4,なし,540,10058
2025-12-23,79,焼き魚弁当,火,くもり,6.9,なし,550,10059
2025-12-24,70,ハンバーグ弁当,水,雨,7.8,なし,610,10060
2025-12-25,137,カレー弁当,木,晴れ,9.1,あり,540,10061
2025-12-26,120,からあげ弁当,金,くもり,5.1,なし,580,10062
2025-12-29,91,カレー弁当,月,くもり,6.7,なし,550,10063
2025-12-30,68,ハンバーグ弁当,火,雨,4.5,なし,610,10064
2025-12-31,99,カレー弁当,水,くもり,5.0,なし,530,10065
2026-01-01,71,焼き魚弁当,木,くもり,3.5,なし,550,10066
2026-01-02,125,からあげ弁当,金,晴れ,2.5,なし,600,10067
2026-01-05,75,生姜焼き弁当,月,くもり,4.5,なし,590,10068
2026-01-06,114,からあげ弁当,火,くもり,4.4,なし,590,10069
2026-01-07,97,カレー弁当,水,くもり,7.6,なし,540,10070
2026-01-08,65,ハンバーグ弁当,木,雨,5.4,なし,630,10071
2026-01-09,95,からあげ弁当,金,雨,3.7,なし,580,10072
2026-01-12,55,焼き魚弁当,月,雨,4.1,なし,560,10073
2026-01-13,46,焼き魚弁当,火,雨,7.7,なし,550,10074
2026-01-14,82,生姜焼き弁当,水,晴れ,7.7,なし,600,10075
2026-01-15,98,からあげ弁当,木,雨,10.3,なし,580,10076
2026-01-16,86,焼き魚弁当,金,くもり,7.7,なし,570,10077
2026-01-19,63,焼き魚弁当,月,雨,4.3,なし,560,10078
2026-01-20,88,ハンバーグ弁当,火,雨,5.7,なし,610,10079
2026-01-21,102,カレー弁当,水,晴れ,6.0,なし,530,10080
2026-01-22,99,ハンバーグ弁当,木,くもり,7.1,なし,610,10081
2026-01-23,96,生姜焼き弁当,金,晴れ,1.7,なし,600,10082
2026-01-26,81,カレー弁当,月,くもり,2.1,なし,530,10083
2026-01-27,106,からあげ弁当,火,晴れ,8.1,なし,590,10084
2026-01-28,69,焼き魚弁当,水,晴れ,8.7,なし,550,10085
2026-01-29,59,生姜焼き弁当,木,雨,3.8,なし,600,10086
2026-01-30,89,からあげ弁当,金,雨,3.3,なし,580,10087
2026-02-02,102,生姜焼き弁当,月,晴れ,3.9,あり,600,10088
2026-02-03,113,からあげ弁当,火,晴れ,-1.2,なし,600,10089
2026-02-04,99,カレー弁当,水,晴れ,5.3,なし,550,10090
2026-02-05,109,ハンバーグ弁当,木,晴れ,2.8,なし,620,10091
2026-02-06,96,焼き魚弁当,金,晴れ,7.8,なし,570,10092
2026-02-09,67,焼き魚弁当,月,くもり,-0.4,なし,550,10093
2026-02-10,61,生姜焼き弁当,火,雨,9.3,なし,590,10094
2026-02-11,88,カレー弁当,水,晴れ,5.4,なし,550,10095
2026-02-12,105,カレー弁当,木,晴れ,4.9,なし,530,10096
2026-02-13,116,カレー弁当,金,晴れ,6.6,なし,540,10097
2026-02-16,67,焼き魚弁当,月,晴れ,8.5,なし,570,10098
2026-02-17,83,焼き魚弁当,火,晴れ,6.0,なし,550,10099
2026-02-18,64,生姜焼き弁当,水,雨,4.2,なし,610,10100
2026-02-19,110,生姜焼き弁当,木,晴れ,7.4,あり,590,10101
2026-02-20,98,生姜焼き弁当,金,くもり,6.8,なし,590,10102
2026-02-23,67,焼き魚弁当,月,くもり,-0.0,なし,550,10103
2026-02-24,64,生姜焼き弁当,火,雨,7.5,なし,600,10104
