date,sales,temperature,rain_flag,event_flag,weekday_flag,weekend_flag
2025-01-01,130,5.0,0,0,1,0
2025-01-02,124,4.0,0,0,1,0
2025-01-03,158,5.8,0,0,1,0
2025-01-04,216,7.8,0,1,0,1
2025-01-05,176,4.5,0,0,0,1
2025-01-06,127,4.8,0,0,1,0
2025-01-07,127,8.7,1,0,1,0
2025-01-08,134,7.3,1,0,1,0
2025-01-09,90,5.1,1,0,1,0
2025-01-10,145,7.3,0,0,1,0
2025-01-11,178,5.6,0,0,0,1
2025-01-12,167,5.8,1,0,0,1
2025-01-13,144,7.5,0,0,1,0
2025-01-14,116,3.4,1,0,1,0
2025-01-15,134,4.1,1,0,1,0
2025-01-16,136,6.6,1,0,1,0
2025-01-17,144,6.0,0,0,1,0
2025-01-18,183,8.9,0,0,0,1
2025-01-19,164,6.7,1,0,0,1
2025-01-20,160,5.9,0,0,1,0
2025-01-21,164,12.0,0,0,1,0
2025-01-22,148,8.8,0,0,1,0
2025-01-23,136,9.7,1,0,1,0
2025-01-24,140,6.9,0,0,1,0
2025-01-25,196,9.0,0,0,0,1
2025-01-26,196,10.5,0,0,0,1
2025-01-27,163,8.3,0,0,1,0
2025-01-28,139,11.6,1,0,1,0
2025-01-29,156,9.9,0,0,1,0
2025-01-30,153,10.8,0,0,1,0
2025-01-31,140,10.4,1,0,1,0
2025-02-01,197,15.6,0,0,0,1
2025-02-02,179,12.1,0,0,0,1
2025-02-03,213,10.3,0,1,1,0
2025-02-04,146,14.3,0,0,1,0
2025-02-05,180,10.4,0,0,1,0
2025-02-06,131,13.6,1,0,1,0
2025-02-07,168,9.5,1,0,1,0
2025-02-08,171,11.0,1,0,0,1
2025-02-09,238,14.3,1,1,0,1
2025-02-10,166,15.6,0,0,1,0
2025-02-11,189,14.8,0,0,1,0
2025-02-12,154,14.4,1,0,1,0
2025-02-13,183,14.3,0,0,1,0
2025-02-14,181,12.2,0,0,1,0
2025-02-15,193,14.0,1,0,0,1
2025-02-16,198,14.8,1,0,0,1
2025-02-17,177,18.1,0,0,1,0
2025-02-18,167,16.9,0,0,1,0
2025-02-19,160,12.9,0,0,1,0
2025-02-20,183,17.3,0,0,1,0
2025-02-21,188,16.2,0,0,1,0
2025-02-22,194,15.8,0,0,0,1
2025-02-23,227,18.7,0,0,0,1
2025-02-24,177,19.8,0,0,1,0
2025-02-25,178,19.8,0,0,1,0
2025-02-26,183,16.5,0,0,1,0
2025-02-27,178,17.8,0,0,1,0
2025-02-28,231,19.3,1,1,1,0
2025-03-01,249,20.9,0,0,0,1
2025-03-02,221,18.2,0,0,0,1
2025-03-03,181,19.0,0,0,1,0
2025-03-04,173,17.4,1,0,1,0
2025-03-05,182,17.5,0,0,1,0
2025-03-06,199,21.7,0,0,1,0
2025-03-07,217,23.0,0,0,1,0
2025-03-08,277,20.4,0,1,0,1
2025-03-09,238,22.8,0,0,0,1
2025-03-10,203,21.8,0,0,1,0
2025-03-11,214,20.0,0,0,1,0
2025-03-12,200,22.2,0,0,1,0
