date,sales,temperature,rain_flag,event_flag,weekday_flag
2026-01-01,120,8,0,1,0
2026-01-02,135,9,0,0,1
2026-01-03,128,7,1,0,0
2026-01-04,150,10,0,0,0
2026-01-05,160,11,0,0,1
2026-01-06,158,10,1,0,1
2026-01-07,170,12,0,0,1
2026-01-08,175,13,0,0,1
2026-01-09,168,11,1,0,1
2026-01-10,180,14,0,1,0
2026-01-11,190,15,0,0,0
2026-01-12,200,16,0,0,1
2026-01-13,195,14,1,0,1
2026-01-14,210,17,0,0,1
2026-01-15,220,18,0,0,1
2026-01-16,215,17,1,0,1
2026-01-17,230,19,0,1,0
2026-01-18,240,20,0,0,0
2026-01-19,235,18,1,0,1
2026-01-20,250,21,0,0,1
2026-01-21,260,22,0,0,1
2026-01-22,255,20,1,0,1
2026-01-23,270,23,0,0,1
2026-01-24,280,24,0,1,0
2026-01-25,275,22,1,0,0
2026-01-26,290,25,0,0,1
2026-01-27,300,26,0,0,1
2026-01-28,295,24,1,0,1
2026-01-29,310,27,0,0,1
2026-01-30,320,28,0,1,1
