日付,受注件数
2025-01-01,75
2025-01-02,75
2025-01-03,92
2025-01-04,38
2025-01-05,21
2025-01-06,73
2025-01-07,80
2025-01-08,78
2025-01-09,84
2025-01-10,93
2025-01-11,29
2025-01-12,24
2025-01-13,81
2025-01-14,82
2025-01-15,87
2025-01-16,78
2025-01-17,90
2025-01-18,32
2025-01-19,21
2025-01-20,80
2025-01-21,95
2025-01-22,67
2025-01-23,85
2025-01-24,96
2025-01-25,33
2025-01-26,26
2025-01-27,93
2025-01-28,100
2025-01-29,96
2025-01-30,99
2025-01-31,110
2025-02-01,28
2025-02-02,32
2025-02-03,105
2025-02-04,96
2025-02-05,95
2025-02-06,96
2025-02-07,104
2025-02-08,36
2025-02-09,34
2025-02-10,96
2025-02-11,93
2025-02-12,93
2025-02-13,86
2025-02-14,107
2025-02-15,26
2025-02-16,26
2025-02-17,94
2025-02-18,97
2025-02-19,98
2025-02-20,100
2025-02-21,105
2025-02-22,43
2025-02-23,33
2025-02-24,106
2025-02-25,98
2025-02-26,116
2025-02-27,111
2025-02-28,133
2025-03-01,42
2025-03-02,35
2025-03-03,135
2025-03-04,124
2025-03-05,124
2025-03-06,128
2025-03-07,146
2025-03-08,42
2025-03-09,38
2025-03-10,130
2025-03-11,129
2025-03-12,122
2025-03-13,126
2025-03-14,142
2025-03-15,46
2025-03-16,35
2025-03-17,146
2025-03-18,132
2025-03-19,123
2025-03-20,131
2025-03-21,160
2025-03-22,57
2025-03-23,35
2025-03-24,137
2025-03-25,133
2025-03-26,155
2025-03-27,150
2025-03-28,171
2025-03-29,57
2025-03-30,39
2025-03-31,158
2025-04-01,88
2025-04-02,96
2025-04-03,100
2025-04-04,105
2025-04-05,34
2025-04-06,30
2025-04-07,97
2025-04-08,93
2025-04-09,90
2025-04-10,97
2025-04-11,103
2025-04-12,22
2025-04-13,24
2025-04-14,103
2025-04-15,91
2025-04-16,99
2025-04-17,92
2025-04-18,100
2025-04-19,30
2025-04-20,26
2025-04-21,103
2025-04-22,89
2025-04-23,88
2025-04-24,92
2025-04-25,111
2025-04-26,38
2025-04-27,26
2025-04-28,119
2025-04-29,110
2025-04-30,112
2025-05-01,98
2025-05-02,109
2025-05-03,43
2025-05-04,27
2025-05-05,101
2025-05-06,107
2025-05-07,92
2025-05-08,96
2025-05-09,106
2025-05-10,35
2025-05-11,28
2025-05-12,109
2025-05-13,107
2025-05-14,93
2025-05-15,101
2025-05-16,114
2025-05-17,34
2025-05-18,26
2025-05-19,99
2025-05-20,99
2025-05-21,112
2025-05-22,105
2025-05-23,111
2025-05-24,40
2025-05-25,30
2025-05-26,133
2025-05-27,129
2025-05-28,120
2025-05-29,119
2025-05-30,125
2025-05-31,48
2025-06-01,33
2025-06-02,109
2025-06-03,112
2025-06-04,104
2025-06-05,114
2025-06-06,121
2025-06-07,41
2025-06-08,30
2025-06-09,110
2025-06-10,106
2025-06-11,107
2025-06-12,113
2025-06-13,123
2025-06-14,30
2025-06-15,39
2025-06-16,117
2025-06-17,104
2025-06-18,102
2025-06-19,112
2025-06-20,116
2025-06-21,44
2025-06-22,25
2025-06-23,117
2025-06-24,108
2025-06-25,104
2025-06-26,130
2025-06-27,137
2025-06-28,33
2025-06-29,33
2025-06-30,141
2025-07-01,112
2025-07-02,111
2025-07-03,105
2025-07-04,128
2025-07-05,42
2025-07-06,26
2025-07-07,109
2025-07-08,121
2025-07-09,105
2025-07-10,113
2025-07-11,132
2025-07-12,37
2025-07-13,28
2025-07-14,120
2025-07-15,113
2025-07-16,109
2025-07-17,111
2025-07-18,131
2025-07-19,37
2025-07-20,30
2025-07-21,121
2025-07-22,111
2025-07-23,119
2025-07-24,107
2025-07-25,131
2025-07-26,49
2025-07-27,47
2025-07-28,131
2025-07-29,134
2025-07-30,136
2025-07-31,131
2025-08-01,87
2025-08-02,27
2025-08-03,27
2025-08-04,71
2025-08-05,77
2025-08-06,82
2025-08-07,77
2025-08-08,75
2025-08-09,25
2025-08-10,28
2025-08-11,85
2025-08-12,84
2025-08-13,72
2025-08-14,82
2025-08-15,86
2025-08-16,29
2025-08-17,21
2025-08-18,79
2025-08-19,71
2025-08-20,72
2025-08-21,72
2025-08-22,87
2025-08-23,29
2025-08-24,22
2025-08-25,80
2025-08-26,90
2025-08-27,91
2025-08-28,94
2025-08-29,103
2025-08-30,36
2025-08-31,31
2025-09-01,123
2025-09-02,114
2025-09-03,112
2025-09-04,123
2025-09-05,129
2025-09-06,39
2025-09-07,34
2025-09-08,124
2025-09-09,110
2025-09-10,107
2025-09-11,111
2025-09-12,129
2025-09-13,34
2025-09-14,31
2025-09-15,127
2025-09-16,110
2025-09-17,111
2025-09-18,120
2025-09-19,140
2025-09-20,50
2025-09-21,34
2025-09-22,126
2025-09-23,113
2025-09-24,111
2025-09-25,121
2025-09-26,160
2025-09-27,44
2025-09-28,42
2025-09-29,147
2025-09-30,131
2025-10-01,111
2025-10-02,115
2025-10-03,131
2025-10-04,45
2025-10-05,31
2025-10-06,121
2025-10-07,124
2025-10-08,121
2025-10-09,114
2025-10-10,132
2025-10-11,38
2025-10-12,37
2025-10-13,130
2025-10-14,112
2025-10-15,111
2025-10-16,127
2025-10-17,124
2025-10-18,43
2025-10-19,40
2025-10-20,125
2025-10-21,120
2025-10-22,110
2025-10-23,115
2025-10-24,121
2025-10-25,38
2025-10-26,38
2025-10-27,144
2025-10-28,140
2025-10-29,133
2025-10-30,144
2025-10-31,156
2025-11-01,39
2025-11-02,42
2025-11-03,124
2025-11-04,114
2025-11-05,117
2025-11-06,121
2025-11-07,130
2025-11-08,42
2025-11-09,47
2025-11-10,124
2025-11-11,122
2025-11-12,114
2025-11-13,125
2025-11-14,126
2025-11-15,32
2025-11-16,28
2025-11-17,125
2025-11-18,116
2025-11-19,111
2025-11-20,111
2025-11-21,126
2025-11-22,51
2025-11-23,33
2025-11-24,136
2025-11-25,109
2025-11-26,139
2025-11-27,145
2025-11-28,156
2025-11-29,53
2025-11-30,36
2025-12-01,136
2025-12-02,130
2025-12-03,127
2025-12-04,127
2025-12-05,151
2025-12-06,46
2025-12-07,38
2025-12-08,139
2025-12-09,137
2025-12-10,131
2025-12-11,129
2025-12-12,146
2025-12-13,41
2025-12-14,34
2025-12-15,132
2025-12-16,125
2025-12-17,112
2025-12-18,127
2025-12-19,149
2025-12-20,41
2025-12-21,29
2025-12-22,141
2025-12-23,124
2025-12-24,118
2025-12-25,134
2025-12-26,172
2025-12-27,57
2025-12-28,41
2025-12-29,159
2025-12-30,159
2025-12-31,159
2026-01-01,87
2026-01-02,110
2026-01-03,36
2026-01-04,22
2026-01-05,101
2026-01-06,95
2026-01-07,99
2026-01-08,102
2026-01-09,98
2026-01-10,31
2026-01-11,20
2026-01-12,97
2026-01-13,93
2026-01-14,89
2026-01-15,87
2026-01-16,98
2026-01-17,25
2026-01-18,26
2026-01-19,102
2026-01-20,99
2026-01-21,95
2026-01-22,96
2026-01-23,104
2026-01-24,30
2026-01-25,23
2026-01-26,121
2026-01-27,112
2026-01-28,114
2026-01-29,115
2026-01-30,114
2026-01-31,40
2026-02-01,23
2026-02-02,110
2026-02-03,103
2026-02-04,105
2026-02-05,104
2026-02-06,113
2026-02-07,28
2026-02-08,23
2026-02-09,111
2026-02-10,108
2026-02-11,117
2026-02-12,116
2026-02-13,119
2026-02-14,31
2026-02-15,34
2026-02-16,115
2026-02-17,105
2026-02-18,105
2026-02-19,100
2026-02-20,124
2026-02-21,35
2026-02-22,30
2026-02-23,109
2026-02-24,116
2026-02-25,114
2026-02-26,124
2026-02-27,141
2026-02-28,52
2026-03-01,41
2026-03-02,153
2026-03-03,149
2026-03-04,139
2026-03-05,133
2026-03-06,170
2026-03-07,50
2026-03-08,48
2026-03-09,147
2026-03-10,150
2026-03-11,142
2026-03-12,155
2026-03-13,152
2026-03-14,47
2026-03-15,38
2026-03-16,157
2026-03-17,136
2026-03-18,146
2026-03-19,141
2026-03-20,161
2026-03-21,57
2026-03-22,37
2026-03-23,152
2026-03-24,151
2026-03-25,142
2026-03-26,168
2026-03-27,186
2026-03-28,58
2026-03-29,43
2026-03-30,178
2026-03-31,180
2026-04-01,110
2026-04-02,103
2026-04-03,113
2026-04-04,42
2026-04-05,28
2026-04-06,109
2026-04-07,108
2026-04-08,102
2026-04-09,111
2026-04-10,115
2026-04-11,42
2026-04-12,26
2026-04-13,112
2026-04-14,103
2026-04-15,108
2026-04-16,105
2026-04-17,121
2026-04-18,38
2026-04-19,25
2026-04-20,112
2026-04-21,109
2026-04-22,109
2026-04-23,99
2026-04-24,117
2026-04-25,41
2026-04-26,40
2026-04-27,138
2026-04-28,129
2026-04-29,127
2026-04-30,125
2026-05-01,124
2026-05-02,39
2026-05-03,33
2026-05-04,122
2026-05-05,116
2026-05-06,107
2026-05-07,110
2026-05-08,128
